filename,stimulus,correct,correct_side
AS_SEEGsansDenoV2_aigle_montagne.jpg,aigle,montagne,droite
AS_SEEGsansDenoV2_allumettes_bougie.jpg,allumettes,bougie,droite
AS_SEEGsansDenoV2_ananas_couteau.jpg,ananas,couteau,droite
AS_SEEGsansDenoV2_ancre_paquebot.jpg,ancre,paquebot,droite
AS_SEEGsansDenoV2_ane_carotte.jpg,ane,carotte,gauche
AS_SEEGsansDenoV2_antivol_velo.jpg,antivol,velo,gauche
AS_SEEGsansDenoV2_arrosoir_fleur.jpg,arrosoir,fleur,droite
AS_SEEGsansDenoV2_avion_oiseau.jpg,avion,oiseau,gauche
AS_SEEGsansDenoV2_balai_aspirateur.jpg,balai,aspirateur,gauche
AS_SEEGsansDenoV2_brosseadent_bouche.jpg,brosseadent,bouche,droite
AS_SEEGsansDenoV2_brouette_pelle.jpg,brouette,pelle,droite
AS_SEEGsansDenoV2_cactus_desert.jpg,cactus,desert,gauche
AS_SEEGsansDenoV2_camion_carton.jpg,camion,carton,droite
AS_SEEGsansDenoV2_canard_etang.jpg,canard,etang,gauche
AS_SEEGsansDenoV2_chameau_desert.jpg,chameau,desert,gauche
AS_SEEGsansDenoV2_chapeau_tete.jpg,chapeau,tete,gauche
AS_SEEGsansDenoV2_chateau_chevalier.jpg,chateau,chevalier,gauche
AS_SEEGsansDenoV2_chauvesouris_nuit.jpg,chauvesouris,nuit,gauche
AS_SEEGsansDenoV2_chien_niche.jpg,chien,niche,droite
AS_SEEGsansDenoV2_ciseaux_feuilledepapier.jpg,ciseaux,feuilledepapier,gauche
AS_SEEGsansDenoV2_cle_porte.jpg,cle,porte,gauche
AS_SEEGsansDenoV2_clou_marteau.jpg,clou,marteau,gauche
AS_SEEGsansDenoV2_compas_cartable.jpg,compas,cartable,droite
AS_SEEGsansDenoV2_cravate_chemise.jpg,cravate,chemise,gauche
AS_SEEGsansDenoV2_crocodile_sacamain.jpg,crocodile,sacamain,droite
AS_SEEGsansDenoV2_cygne_etang.jpg,cygne,etang,droite
AS_SEEGsansDenoV2_ecureuil_gland.jpg,ecureuil,gland,droite
AS_SEEGsansDenoV2_elephant_cirque.jpg,elephant,cirque,gauche
AS_SEEGsansDenoV2_fleche_arc.jpg,fleche,arc,gauche
AS_SEEGsansDenoV2_flute_trompette.jpg,flute,trompette,droite
AS_SEEGsansDenoV2_fraise_sucre.jpg,fraise,sucre,droite
