filename,stimulus,correct,correct_side
ASM_aigle_montagne.jpg,aigle,montagne,droite
ASM_allumettes_bougie.jpg,allumettes,bougie,droite
ASM_ananas_couteau.jpg,ananas,couteau,droite
ASM_ancre_paquebot.jpg,ancre,paquebot,droite
ASM_ane_carotte.jpg,ane,carotte,gauche
ASM_antivol_velo.jpg,antivol,velo,gauche
ASM_arrosoir_fleur.jpg,arrosoir,fleur,droite
ASM_avion_oiseau.jpg,avion,oiseau,gauche
ASM_balai_aspirateur.jpg,balai,aspirateur,gauche
ASM_brosseadent_bouche.jpg,brosseadent,bouche,droite
ASM_brouette_pelle.jpg,brouette,pelle,droite
ASM_cactus_desert.jpg,cactus,desert,gauche
ASM_camion_carton.jpg,camion,carton,droite
ASM_canard_etang.jpg,canard,etang,gauche
ASM_chameau_desert.jpg,chameau,desert,gauche
ASM_chapeau_tete.jpg,chapeau,tete,gauche
ASM_chateau_chevalier.jpg,chateau,chevalier,gauche
ASM_chauvesouris_nuit.jpg,chauvesouris,nuit,gauche
ASM_chien_niche.jpg,chien,niche,droite
ASM_ciseaux_feuilledepapier.jpg,ciseaux,feuilledepapier,gauche
ASM_cle_porte.jpg,cle,porte,gauche
ASM_clou_marteau.jpg,clou,marteau,gauche
ASM_compas_cartable.jpg,compas,cartable,droite
ASM_cravate_chemise.jpg,cravate,chemise,gauche
ASM_crocodile_sacamain.jpg,crocodile,sacamain,droite
ASM_cygne_etang.jpg,cygne,etang,droite
ASM_ecureuil_gland.jpg,ecureuil,gland,droite
ASM_elephant_cirque.jpg,elephant,cirque,gauche
ASM_fleche_arc.jpg,fleche,arc,gauche
ASM_flute_trompette.jpg,flute,trompette,droite
ASM_fraise_sucre.jpg,fraise,sucre,droite
ASM_grenouille_nenuphar.jpg,grenouille,nenuphar,droite
ASM_groupedegens_bus.jpg,groupedegens,bus,gauche
ASM_gruyere_souris.jpg,gruyere,souris,droite
ASM_hache_buche.jpg,hache,buche,gauche
ASM_lapin_carotte.jpg,lapin,carotte,gauche
ASM_lezard_soleil.jpg,lezard,soleil,droite
ASM_luge_skis.jpg,luge,skis,droite
ASM_lunettes_oeil.jpg,lunettes,oeil,gauche
ASM_main_gant.jpg,main,gant,gauche
ASM_mais_champ.jpg,mais,champ,droite
ASM_marteau_clou.jpg,marteau,clou,droite
ASM_masque_clown.jpg,masque,clown,gauche
ASM_moto_blouson.jpg,moto,blouson,droite
ASM_moulinavent_campagne.jpg,moulinavent,campagne,gauche
ASM_mouton_loup.jpg,mouton,loup,gauche
ASM_niche_chien.jpg,niche,chien,gauche
ASM_orange_jus.jpg,orange,jus,gauche
ASM_oreillers_lit.jpg,oreillers,lit,gauche
ASM_ours_miel.jpg,ours,miel,droite
ASM_perroquet_perchoir.jpg,perroquet,perchoir,gauche
ASM_piano_partition.jpg,piano,partition,gauche
ASM_pile_lampetorche.jpg,pile,lampetorche,droite
ASM_pomme_ver.jpg,pomme,ver,droite
ASM_poubelle_balai.jpg,poubelle,balai,droite
ASM_pyjama_pantoufles.jpg,pyjama,pantoufles,droite
ASM_pyramide_palmier.jpg,pyramide,palmier,gauche
ASM_rhinoceros_lion.jpg,rhinoceros,lion,gauche
ASM_rideau_fenetre.jpg,rideau,fenetre,droite
ASM_scie_branche.jpg,scie,branche,droite
ASM_selle_cheval.jpg,selle,cheval,droite
ASM_serpent_desert.jpg,serpent,desert,droite
ASM_sifflet_gendarme.jpg,sifflet,gendarme,droite
ASM_singe_banane.jpg,singe,banane,droite
ASM_souris_chat.jpg,souris,chat,droite
ASM_tableau_bureau.jpg,tableau,bureau,droite
ASM_tambour_baguettes.jpg,tambour,baguettes,gauche
ASM_tente_feudecamp.jpg,tente,feudecamp,gauche
ASM_tortue_salade.jpg,tortue,salade,gauche
ASM_toupie_main.jpg,toupie,main,gauche
ASM_tulipe_jardinier.jpg,tulipe,jardinier,gauche
ASM_ventilateur_soleil.jpg,ventilateur,soleil,droite
ASM_vin_bouteille.jpg,vin,bouteille,droite
ASM_vin_raisin.jpg,vin,raisin,gauche
ASM_zebre_savane.jpg,zebre,savane,droite
