filename,target_person,target_position
FFP_V1_AlainDelon.jpg,AlainDelon,
FFP_V1_AngelaMerkel.jpg,AngelaMerkel,right
FFP_V1_ArnoldSchwarzenegger.jpg,ArnoldSchwarzenegger,
FFP_V1_Arthur.jpg,Arthur,center
FFP_V1_BernardTapie.jpg,BernardTapie,left
FFP_V1_BillClinton.jpg,BillClinton,left
FFP_V1_BradPitt.jpg,BradPitt,left
FFP_V1_CelineDion.jpg,CelineDion,left
FFP_V1_CharlesAznavour.jpg,CharlesAznavour,right
FFP_V1_ClaireChazal.jpg,ClaireChazal,center
FFP_V1_DanyBoon.jpg,DanyBoon,center
FFP_V1_DominiqueStraussKahn.jpg,DominiqueStraussKahn,center
FFP_V1_FabriceLuchini.jpg,FabriceLuchini,center
FFP_V1_FlorentPagny.jpg,FlorentPagny,right
FFP_V1_FrancoisHollande.jpg,FrancoisHollande,center
FFP_V1_FrancoisMitterrand.jpg,FrancoisMitterrand,right
FFP_V1_GadElmaleh.jpg,GadElmaleh,center
FFP_V1_Garou.jpg,Garou,right
FFP_V1_GeorgesBush.jpg,GeorgesBush,
FFP_V1_GeorgesClooney.jpg,GeorgesClooney,left
FFP_V1_GerardDepardieu.jpg,GerardDepardieu,right
FFP_V1_GuyBedos.jpg,GuyBedos,center
FFP_V1_JackNicholson.jpg,JackNicholson,left
FFP_V1_JacquesChirac.jpg,JacquesChirac,right
FFP_V1_JeanDujardin.jpg,JeanDujardin,left
FFP_V1_JeanJacquesGoldman.jpg,JeanJacquesGoldman,right
FFP_V1_JeanReno.jpg,JeanReno,
FFP_V1_JohnnyHallyday.jpg,JohnnyHallyday,
FFP_V1_JulietteBinoche.jpg,JulietteBinoche,
FFP_V1_LaurentRuquier.jpg,LaurentRuquier,center
FFP_V1_LeonardoDiCaprio.jpg,LeonardoDiCaprio,left
FFP_V1_ManuelValls.jpg,ManuelValls,left
FFP_V1_MarineLePen.jpg,MarineLePen,left
FFP_V1_MichelDrucker.jpg,MichelDrucker,center
FFP_V1_MichelSardou.jpg,MichelSardou,right
FFP_V1_MimieMathy.jpg,MimieMathy,
FFP_V1_MurielRobin.jpg,MurielRobin,left
FFP_V1_Nagui.jpg,Nagui,left
FFP_V1_NicolasSarkozy.jpg,NicolasSarkozy,left
FFP_V1_PatrickBruel.jpg,PatrickBruel,left
FFP_V1_PatrickPoivreDArvor.jpg,PatrickPoivreDArvor,right
FFP_V1_PatrickSebastien.jpg,PatrickSebastien,left
FFP_V1_PrinceCharles.jpg,PrinceCharles,center
FFP_V1_Renaud.jpg,Renaud,
FFP_V1_SegoleneRoyal.jpg,SegoleneRoyal,center
FFP_V1_SergeGainsbourg.jpg,SergeGainsbourg,center
FFP_V1_TomCruise.jpg,TomCruise,right
FFP_V1_VanessaParadis.jpg,VanessaParadis,
FFP_V1_VladimirPoutine.jpg,VladimirPoutine,right
FFP_V1_ZinedineZidane.jpg,ZinedineZidane,center
